,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1715,4,5,5,5,5,5,4,4,5,5,5,6,5,5,5
1716,4,0,0,0,0,0,0,5,5,0,0,0,0,0,5
1717,3,3,6,4,5,4,3,3,5,6,6,6,6,6,4
1718,2,3,3,4,4,3,3,6,4,3,4,6,6,6,3
1719,0,2,3,5,5,6,6,6,6,5,5,0,0,0,4
1720,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1721,5,5,5,5,5,5,5,5,6,5,5,5,4,4,5
1722,3,3,6,4,4,4,6,6,3,0,0,0,0,0,0
1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,6,2,6,4,6,6,6,6,6,6,6,6,6,6,3
1725,5,5,5,5,5,5,5,5,5,6,6,3,6,6,5
1726,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1727,4,4,5,5,5,4,6,6,4,4,4,5,6,5,5
1728,6,3,3,3,6,4,3,3,6,5,5,5,6,6,4
1729,6,4,4,3,4,5,6,6,5,5,6,6,6,6,4
1730,3,2,3,3,3,3,3,3,2,4,4,3,6,3,3
1731,6,6,3,4,4,4,6,6,6,4,5,6,6,6,5
1732,6,6,6,5,5,5,3,3,3,3,3,3,3,3,3
1733,5,5,5,5,5,5,6,6,5,0,0,0,0,0,5
1734,4,6,4,5,6,5,6,6,6,4,6,6,6,6,4
1735,4,3,3,5,5,5,6,5,5,5,3,6,6,4,5
1736,5,5,6,5,5,5,6,6,6,6,6,6,6,6,5
1737,4,4,4,5,5,5,6,6,6,5,6,6,6,6,5
1738,4,4,3,3,3,4,6,6,4,4,4,4,4,4,4
1739,3,3,0,5,5,5,5,5,5,5,0,6,6,6,5
1740,6,6,6,6,4,1,2,0,6,6,6,6,6,6,6
1741,5,4,0,3,3,3,0,0,5,3,0,4,0,0,4
1742,4,4,4,4,3,4,3,3,3,6,6,6,6,6,4
1743,0,0,0,0,0,0,0,0,0,2,4,4,6,3,3
1744,4,3,3,4,4,4,4,4,4,6,6,5,6,6,4
1745,4,3,4,5,5,5,3,4,5,6,6,6,6,5,4
1746,3,6,6,3,3,3,6,6,6,3,6,4,6,2,3
1747,4,4,4,4,4,5,0,0,4,3,3,4,4,3,4
1748,3,1,2,4,4,5,3,3,6,6,6,6,6,6,3
1749,4,4,5,4,5,4,3,3,3,6,6,6,6,6,2
1750,4,3,3,3,3,3,3,3,2,3,6,6,6,6,3
1751,5,3,5,5,5,3,6,6,5,5,6,5,6,5,4
1752,5,4,4,4,3,4,6,6,4,6,6,6,6,6,4
1753,4,3,3,4,4,4,4,4,4,3,6,4,6,4,4
1754,5,3,3,2,2,2,6,6,6,2,6,2,6,2,3
1755,5,4,4,5,5,5,5,5,5,6,6,5,6,6,4
1756,3,3,3,2,2,2,2,2,2,3,6,1,6,1,3
1757,1,4,3,5,5,5,5,5,4,6,6,6,6,6,4
1758,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1759,4,4,4,4,4,4,6,6,6,4,4,6,6,4,4
1760,2,3,3,5,5,5,5,5,5,5,4,5,5,5,4
1761,4,4,3,3,3,4,4,4,5,2,6,4,6,2,4
1762,6,6,4,4,4,4,4,4,5,4,6,6,6,4,4
1763,4,4,4,5,4,5,5,5,5,4,6,5,6,4,5
1764,2,3,6,4,2,3,4,5,5,6,6,6,6,6,4
1765,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1766,3,4,3,3,3,2,6,6,6,3,6,6,6,6,3
1767,4,3,3,5,5,4,3,3,4,4,4,4,6,4,4
1768,5,6,3,5,5,5,5,5,6,5,6,6,6,6,5
1769,3,3,3,4,4,4,3,3,3,4,0,0,0,0,4
1770,6,3,3,3,6,3,6,6,4,3,6,6,6,6,3
1771,5,5,5,5,5,5,5,5,3,5,5,5,6,6,5
1772,5,6,6,5,5,6,6,6,6,4,4,6,6,6,4
1773,5,3,3,4,3,3,4,3,6,6,6,5,6,6,4
1774,4,3,4,5,5,5,5,5,4,6,6,6,6,6,4
1775,3,3,3,4,4,3,3,3,3,5,4,5,3,3,4
1776,6,6,6,4,4,4,6,6,6,6,6,5,6,6,4
1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,4,4,4,5,5,5,6,6,5,5,6,5,6,6,4
1779,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4
1780,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4
1781,3,3,2,4,4,4,4,4,5,2,3,3,3,3,3
1782,4,3,3,3,4,4,4,4,5,4,6,6,6,6,4
1783,5,5,4,5,5,5,5,5,5,5,5,4,4,6,5
1784,5,4,4,5,5,5,5,5,5,5,5,4,4,4,5
1785,4,6,6,3,3,2,2,2,1,3,3,6,6,6,4
