,2013,2014,2015,2016,2017
593,6,6.0,6.0,5.0,5.0
594,4,4.0,6.0,5.0,4.0
595,4,4.0,4.0,6.0,5.0
596,4,6.0,6.0,3.0,3.0
597,3,4.0,6.0,5.0,6.0
598,4,6.0,4.0,3.0,0.0
599,6,3.0,5.0,1.0,4.0
600,1,3.0,3.0,4.0,6.0
601,4,5.0,4.0,3.0,3.0
602,4,6.0,5.0,3.0,6.0
603,1,6.0,4.0,3.0,4.0
604,3,5.0,5.0,5.0,4.0
605,0,6.0,6.0,5.0,0.0
606,4,4.0,5.0,4.0,5.0
607,3,5.0,3.0,4.0,2.0
608,6,5.0,5.0,2.0,4.0
609,6,4.0,5.0,3.0,5.0
610,4,4.0,6.0,5.0,2.0
611,4,6.0,5.0,1.0,2.0
612,2,6.0,5.0,5.0,3.0
613,4,5.0,0.0,4.0,3.0
614,3,6.0,3.0,2.0,3.0
615,4,4.0,5.0,2.0,2.0
616,1,5.0,6.0,3.0,5.0
617,0,6.0,6.0,4.0,5.0
618,0,6.0,6.0,5.0,4.0
619,4,5.0,5.0,2.0,4.0
620,6,3.0,6.0,5.0,5.0
621,3,5.0,6.0,4.0,4.0
622,4,4.0,5.0,4.0,3.0
623,5,4.0,5.0,5.0,3.0
624,5,4.0,5.0,6.0,3.0
625,4,5.0,0.0,5.0,3.0
626,4,5.0,6.0,3.0,5.0
627,6,3.0,6.0,4.0,4.0
628,6,0.0,5.0,3.0,4.0
629,3,5.0,3.0,4.0,4.0
630,6,5.0,5.0,3.0,5.0
631,4,3.0,5.0,4.0,1.0
632,5,6.0,1.0,3.0,5.0
633,6,5.0,4.0,4.0,5.0
634,0,6.0,5.0,2.0,4.0
635,3,4.0,6.0,5.0,5.0
636,4,6.0,6.0,1.0,5.0
637,5,3.0,3.0,2.0,5.0
638,3,4.0,5.0,4.0,6.0
639,3,4.0,6.0,4.0,4.0
640,4,5.0,6.0,5.0,3.0
641,4,3.0,4.0,5.0,4.0
642,4,4.0,6.0,4.0,4.0
643,5,5.0,6.0,3.0,5.0
644,4,4.0,3.0,4.0,4.0
645,4,4.0,6.0,4.0,5.0
646,6,3.0,4.0,3.0,5.0
647,4,4.0,5.0,3.0,4.0
648,5,6.0,6.0,6.0,5.0
649,4,6.0,2.0,5.0,6.0
650,5,3.0,4.0,4.0,6.0
651,2,1.0,3.0,5.0,5.0
652,4,5.0,5.0,5.0,5.0
653,6,4.0,5.0,5.0,6.0
654,4,5.0,1.0,4.0,6.0
655,3,3.0,4.0,4.0,2.0
656,4,3.0,6.0,6.0,4.0
657,4,5.0,6.0,5.0,5.0
658,4,3.0,5.0,3.0,5.0
659,5,4.0,0.0,4.0,5.0
660,6,3.0,3.0,3.0,4.0
661,4,3.0,3.0,6.0,2.0
662,3,5.0,3.0,4.0,5.0
663,6,3.0,6.0,5.0,4.0
664,3,5.0,5.0,5.0,4.0
665,4,5.0,3.0,5.0,5.0
666,6,6.0,5.0,5.0,1.0
667,5,5.0,4.0,3.0,6.0
668,6,6.0,3.0,3.0,6.0
669,4,6.0,6.0,4.0,3.0
670,4,3.0,6.0,5.0,6.0
671,3,6.0,6.0,6.0,4.0
672,5,6.0,6.0,5.0,6.0
673,5,6.0,4.0,5.0,1.0
674,4,1.0,4.0,6.0,3.0
675,4,5.0,6.0,3.0,4.0
676,6,6.0,6.0,6.0,6.0
677,6,6.0,4.0,5.0,3.0
678,6,4.0,6.0,0.0,4.0
679,5,5.0,4.0,5.0,6.0
680,6,3.0,6.0,5.0,4.0
681,4,5.0,4.0,6.0,5.0
682,6,6.0,3.0,4.0,3.0
683,6,6.0,6.0,3.0,4.0
684,3,3.0,6.0,5.0,5.0
685,4,6.0,6.0,3.0,3.0
686,5,6.0,6.0,6.0,4.0
687,4,6.0,6.0,4.0,5.0
688,3,5.0,6.0,6.0,6.0
689,3,5.0,5.0,5.0,5.0
690,6,4.0,4.0,4.0,5.0
691,5,0.0,5.0,5.0,4.0
692,6,4.0,6.0,5.0,4.0
693,4,4.0,6.0,4.0,5.0
694,6,5.0,6.0,6.0,4.0
