,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1501,5,3,3,3,3,3,6,6,6,6,6,6,6,4
1502,6,3,2,5,5,5,5,5,6,6,6,6,6,4
1503,6,6,6,3,3,3,6,6,6,6,6,6,6,3
1504,2,3,3,4,6,4,6,4,6,6,6,6,6,4
1505,6,4,3,4,4,4,4,4,6,6,5,6,6,4
1506,4,3,3,4,4,4,4,4,4,6,6,6,6,4
1507,4,4,4,4,4,4,6,6,6,6,6,6,6,0
1508,3,3,3,4,4,3,3,3,4,4,4,6,6,4
1509,4,3,4,3,0,3,6,6,6,6,6,6,0,3
1510,4,4,4,4,4,3,6,6,6,6,6,6,6,4
1511,6,4,3,3,4,3,6,6,6,6,6,6,6,4
1512,3,6,3,4,4,3,2,2,4,6,5,6,3,4
1513,3,6,4,4,3,3,3,3,4,6,4,6,6,4
1514,6,6,3,4,5,5,6,6,6,6,6,6,6,4
1515,6,2,2,4,4,3,6,6,6,6,6,6,6,3
1516,5,4,5,0,4,5,4,4,4,5,4,4,4,4
1517,4,1,2,4,4,3,3,3,4,6,5,6,6,4
1518,3,6,3,3,3,3,3,3,6,6,6,6,6,3
1519,4,4,4,4,4,4,4,4,6,6,6,6,6,2
1520,4,5,4,3,5,3,3,3,6,6,4,6,6,5
1521,4,4,2,3,4,2,3,0,3,0,4,0,0,3
1522,3,3,2,3,3,2,6,1,6,6,6,6,6,2
1523,5,3,3,4,4,0,5,3,4,4,6,6,6,4
1524,6,4,5,5,5,4,6,6,6,6,6,6,6,4
1525,5,6,6,5,5,5,6,6,6,6,6,6,6,5
1526,4,5,5,5,5,5,6,6,5,6,5,6,5,5
1527,3,3,3,5,4,4,6,6,4,6,4,6,4,3
1528,3,3,3,5,6,6,6,6,4,6,3,6,4,4
1529,5,3,3,5,5,3,3,4,5,5,4,6,5,4
1530,3,3,3,3,3,3,3,3,3,3,3,6,6,3
1531,2,5,5,5,5,5,5,5,5,5,5,0,4,4
1532,4,4,3,4,4,4,3,3,4,4,5,6,4,4
1533,3,3,3,4,3,3,6,6,6,6,6,6,6,4
1534,6,4,6,4,4,4,6,6,4,4,6,6,6,4
1535,4,3,3,3,4,3,2,2,4,5,5,6,5,4
1536,3,4,3,3,3,4,3,3,3,6,6,6,6,3
1537,2,2,2,2,3,3,3,3,3,3,6,4,6,2
1538,3,2,2,2,2,2,2,2,3,3,3,3,3,3
1539,5,3,3,5,5,5,5,5,5,5,5,5,5,4
1540,0,4,0,4,4,4,6,6,5,3,4,6,6,4
1541,6,6,6,5,6,6,6,6,6,6,6,6,6,4
1542,6,6,6,5,5,5,6,6,6,6,6,6,6,5
1543,6,4,5,5,5,4,6,6,5,6,6,6,6,5
1544,3,3,4,5,4,3,3,3,0,0,5,0,0,4
1545,5,5,3,3,3,4,5,4,5,3,5,6,6,5
1546,3,4,3,4,4,4,3,3,4,4,5,6,4,4
1547,3,4,3,4,3,4,3,3,4,0,6,6,6,3
1548,6,3,3,5,5,5,4,4,4,4,4,6,4,5
1549,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1550,6,4,4,5,4,5,3,4,4,4,6,6,6,4
1551,3,2,2,4,4,3,3,3,0,0,0,0,0,3
1552,3,4,4,5,5,5,5,5,4,4,5,6,3,4
1553,4,3,3,2,3,3,3,3,2,3,4,6,6,4
1554,6,6,5,5,6,5,6,6,6,6,5,6,6,5
1555,4,4,6,3,4,4,6,6,4,4,4,6,6,4
1556,6,3,3,4,4,4,6,6,6,6,6,6,6,4
1557,6,6,6,3,2,4,4,4,6,6,4,6,6,4
1558,4,5,4,4,4,4,6,6,6,6,6,6,6,4
1559,6,5,5,5,6,6,6,6,5,6,6,6,6,5
1560,3,3,3,3,3,3,3,3,3,3,6,6,6,3
1561,6,6,2,5,4,5,4,4,5,5,5,5,5,4
1562,4,4,6,4,5,5,4,4,3,3,5,6,6,4
1563,4,3,3,5,5,5,6,6,5,4,3,6,4,4
1564,4,3,3,4,4,2,6,4,6,6,6,6,6,4
1565,5,4,5,5,5,5,5,5,4,4,5,6,5,5
1566,6,6,6,3,6,3,6,6,3,3,3,6,6,3
1567,5,5,5,5,5,5,6,6,6,6,6,6,6,5
1568,6,4,3,4,4,4,6,6,6,6,4,6,6,4
1569,3,2,2,3,4,3,3,3,6,6,5,6,6,4
1570,5,5,5,4,4,4,3,3,4,4,6,6,6,4
1571,5,3,4,5,4,4,4,4,4,4,4,4,4,4
1572,4,4,4,4,4,4,4,4,3,6,6,6,6,4
1573,3,2,3,3,4,3,6,6,6,6,6,6,6,3
1574,4,3,3,4,4,4,4,4,5,4,5,5,5,4
1575,5,4,5,5,5,5,6,6,5,6,6,6,6,5
1576,4,6,6,5,5,5,5,5,6,6,6,6,6,5
1577,4,4,4,4,4,5,5,5,5,3,4,4,4,4
1578,5,3,4,1,4,1,6,2,6,0,0,0,0,3
1579,4,4,4,3,4,3,6,6,3,6,4,6,6,4
1580,5,4,5,4,5,5,5,5,5,4,4,4,4,5
1581,3,6,4,3,5,5,4,4,5,6,5,6,3,4
1582,3,6,6,2,0,2,0,6,4,6,6,6,6,3
1583,6,6,6,5,5,5,6,6,6,6,6,6,6,5
1584,3,3,3,4,4,4,6,6,3,4,2,1,4,3
1585,4,1,3,2,4,1,6,6,6,6,4,6,4,3
1586,6,6,6,3,3,3,6,6,6,6,6,6,6,3
1587,5,5,6,5,5,5,6,6,5,1,5,6,0,0
1588,4,6,1,4,4,4,4,4,4,4,2,6,3,4
1589,4,4,4,3,3,3,3,3,3,3,6,6,6,4
1590,4,6,6,4,4,3,6,6,4,6,6,6,6,3
1591,4,5,5,4,5,5,5,5,4,6,6,6,3,4
1592,4,3,3,4,4,4,6,6,5,3,4,3,6,4
1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,4,4,4,4,4,2,2,2,4,4,4,4,4,4
1595,6,4,4,4,4,4,6,4,4,4,4,6,3,4
1596,6,3,4,4,4,5,6,6,5,6,6,6,6,4
1597,4,5,5,4,4,4,4,4,4,4,4,4,6,4
1598,6,3,4,4,4,4,6,6,4,6,5,6,6,4
1599,4,3,3,4,4,4,4,4,3,3,3,3,3,4
1600,5,4,4,3,4,4,6,6,4,4,6,6,6,4
1601,2,3,3,1,4,3,6,6,6,6,6,6,6,4
1602,4,3,3,4,4,4,6,6,5,6,5,6,4,4
1603,4,3,6,4,4,4,0,0,4,3,0,0,6,4
